Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Palmshore,3,4.3,2228,742.67
Cakes & Bakes,3,3.17,92,30.67
Captain Bill$ Deliverz,3,2.53,273,91.0
Chawla's Tandoori Junction,3,2.27,195,65.0
Niti Shake & Ice Cream Hub,3,1.27,25,8.33
Movenpick,3,3.97,253,84.33
Muradabadi Shahi Biryani & Chicken Corner,3,1.97,92,30.67
Naivedyam,3,3.87,2481,827.0
New Madras Cafe,3,1.97,47,15.67
Chinese Food Corner,3,0.83,20,6.67
Finger Licious,3,2.2,325,108.33
Just Vada Pav,3,1.2,97,32.33
The Fisherman's Wharf,3,4.27,1022,340.67
The Golden Dragon,3,2.83,304,101.33
Tikka Junction,3,3.43,150,50.0
Tikka Town,3,3.03,309,103.0
Joost Juice Bar,3,1.07,10,3.33
Jaiveer Naan & Chaap,3,2.9,133,44.33
Indian Coffee House,3,3.53,1811,603.67
HuHot Mongolian Grill,3,3.77,618,206.0
Dilli Darbar,3,3.1,204,68.0
Doughlicious,3,3.5,304,101.33
D�_ner Grill,3,3.8,590,196.67
Kerala Cafe,3,3.07,214,71.33
Kanwarji's,3,3.43,232,77.33
KB's Kulfi & Icecream,3,3.13,73,24.33
The Chaiwalas,3,0.97,9,3.0
Bake N Shake,3,4.2,446,148.67
Hard Rock Cafe,3,4.2,3491,1163.67
Hasty Tasty,3,2.03,99,33.0
Havmor Ice Cream,3,3.37,57,19.0
Health Buzzz,3,3.13,40,13.33
Hira Sweets,3,3.03,140,46.67
Hangchuaa's Chinese Food Corner,3,2.97,60,20.0
Foodies,3,0.0,0,0.0
Habibi Express,3,1.5,177,59.0
Wok On Fire,3,3.8,542,180.67
Flying Cakes,3,2.23,205,68.33
Food Plaza,3,1.07,24,8.0
Food Scouts,3,4.43,312,104.0
Foodhall,3,2.53,143,47.67
Zizo,3,3.87,1371,457.0
Aggarwal Bikaner Sweets,3,1.0,10,3.33
Aggarwal Sweet Centre,3,0.0,6,2.0
bu��no,2,3.75,117,58.5
6 Pack Momos,2,1.4,8,4.0
A Piece of Paris,2,3.75,81,40.5
AB's Absolute Barbecues,2,4.85,3151,1575.5
Underdoggs Sports Bar & Grill,2,4.35,346,173.0
U Like,2,1.5,19,9.5
Twisted Tacos,2,3.6,242,121.0
Twigly,2,4.55,471,235.5
Angeethi,2,3.05,118,59.0
Anand Sweets,2,0.0,3,1.5
Amritsari Dhaba,2,3.05,28,14.0
Ammu's South Indian Restaurant,2,2.95,55,27.5
Americana Kitchen and Bar,2,2.6,326,163.0
Amar Bakery,2,1.65,13,6.5
All About Food,2,1.95,305,152.5
Alaturka,2,2.95,302,151.0
Al Zaika,2,1.45,9,4.5
