Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Foodhall,3,2.53,143,47.67
Koyla Kebab,2,3.35,141,70.5
Hira Sweets,3,3.03,140,46.67
Le Chef,2,3.15,140,70.0
Polka Pastry & Snack Bar,3,3.1,139,46.33
Punjab Restaurant,3,3.27,137,45.67
Jaiveer Naan & Chaap,3,2.9,133,44.33
Food Express,2,1.8,128,64.0
Night Food Xprs,2,2.7,127,63.5
Pakwan,4,2.08,126,31.5
Frontier,14,2.83,125,8.93
Momo-Cha,4,2.72,124,31.0
Muffins,2,2.7,122,61.0
Chawla's Tandoori Xpress,2,2.85,120,60.0
Hot Stuff,2,3.4,119,59.5
Angeethi,2,3.05,118,59.0
Tea Halt,3,2.87,118,39.33
Laxmi Ice Cream,2,3.55,118,59.0
Nirula's Ice Cream,9,2.4,117,13.0
bu��no,2,3.75,117,58.5
Chawnsan Chef,2,3.4,117,58.5
Pasta Hut,2,3.4,116,58.0
Burger Xpress,4,1.62,116,29.0
Chawla's 2,4,1.7,116,29.0
Midnight Hunger Hub,3,4.03,114,38.0
Gullu's,2,3.0,114,57.0
Rainbows,4,3.1,113,28.25
Veg Ex,3,3.6,113,37.67
New Punjabi Khana,2,3.5,112,56.0
Sardar A Pure Meat Shop,9,1.72,112,12.44
Coldpress Company,2,4.05,108,54.0
Bats On Delivery,3,2.7,108,36.0
Punjabi Dhaba,3,2.2,107,35.67
Public Cafe,4,2.4,107,26.75
Kolkata Kathi Roll,2,3.1,106,53.0
Oh Buoy,2,3.35,105,52.5
Grillz,2,2.35,104,52.0
Singz,2,2.7,103,51.5
Halki Aanch,2,3.0,103,51.5
Raj Restaurant,2,2.75,103,51.5
The Culinary Pitaara,2,3.5,102,51.0
Wagh Bakri Tea Lounge,2,3.6,102,51.0
Chawla Family Restaurant,2,3.05,101,50.5
Relax Xpress,2,3.2,100,50.0
Ovenstory Pizza,8,2.5,100,12.5
GoGourmet,4,2.65,99,24.75
Hasty Tasty,3,2.03,99,33.0
Shri Ram Restaurant,2,2.85,98,49.0
The Bake Studio,2,3.35,98,49.0
Just Vada Pav,3,1.2,97,32.33
South Cafe,2,1.75,96,48.0
Prince Chaat Corner,2,3.45,96,48.0
Chimney,3,3.03,95,31.67
Biryaniwala,2,2.35,94,47.0
Bikano Chat Cafe,2,2.8,93,46.5
Hurry's Paratha,2,3.5,92,46.0
Muradabadi Shahi Biryani & Chicken Corner,3,1.97,92,30.67
Cakes & Bakes,3,3.17,92,30.67
Sumo Sushi,2,3.95,91,45.5
Madras Dosa & Chinese,2,1.35,91,45.5
Go Kylin,2,3.15,90,45.0
Shankar Fast Food,2,2.95,89,44.5
South Indian Corner,2,3.4,89,44.5
Flirty Momo's,5,2.92,89,17.8
JSB Evergreen Snack & Sweets,2,3.15,88,44.0
Bikaner Sweets,13,1.34,88,6.77
Pitstop,2,1.65,87,43.5
Bawarchi,4,3.12,86,21.5
Flavours,2,3.1,85,42.5
BarShala,3,3.27,85,28.33
Bunty Dhaba,3,2.83,84,28.0
Madhuvan Chinese Fast Food,2,2.6,84,42.0
The Dosa King,2,3.05,84,42.0
Oberoi's,2,3.4,83,41.5
Vaishno Punjabi Dhaba,2,3.25,82,41.0
Kings Kulfi,6,2.27,82,13.67
Spooky Sky,2,3.45,82,41.0
Zaaika Junction,2,2.85,81,40.5
Qureshi Kabab Corner,2,3.65,81,40.5
A Piece of Paris,2,3.75,81,40.5
ZASTY,2,3.5,80,40.0
Kumar Pastry Shop,2,3.25,79,39.5
Street Foods by Punjab Grill,3,1.93,79,26.33
Chinese King,2,2.5,77,38.5
Faasos,8,2.94,77,9.62
Raj Rasoi,2,1.65,76,38.0
Druk,2,3.45,75,37.5
Riyaz Chicken Corner,2,1.7,75,37.5
Hyderabad House,2,3.1,74,37.0
KB's Kulfi & Icecream,3,3.13,73,24.33
Wheelyz,2,2.85,73,36.5
Shahenshah,3,3.13,72,24.0
Brijwasi Restaurant,2,3.0,71,35.5
Gelato Vinto,4,2.98,70,17.5
Shama Chicken Corner,9,1.08,69,7.67
Shree Bikaner Misthan Bhandar,5,3.0,69,13.8
China Town,7,2.03,68,9.71
True Blue,3,3.17,68,22.67
Fabulous Cake Bites,2,3.5,67,33.5
The Kitchen,2,2.95,67,33.5
Mitthu Tikki Wala,2,3.3,67,33.5
Reena Restaurant,2,3.1,66,33.0
