Cuisines,Restaurant_Count,Average_Rating
"North Indian, Japanese, Italian",1,4.3
Caribbean,1,4.3
"Caribbean, Seafood",1,4.3
"Cafe, Sandwich, Southern",1,4.3
"North Indian, Continental, European, Chinese, Thai",1,4.3
"European, Cafe, Italian",1,4.3
"North Indian, Chinese, Italian, Street Food, Desserts",1,4.3
"Mediterranean, Italian, American",1,4.3
"Burger, Pizza, Biryani",1,4.3
"Continental, North Indian, Thai, Chinese",1,4.3
"European, Asian",1,4.3
"Continental, North Indian, Chinese, Arabian, Thai",1,4.3
"Continental, North Indian, Mughlai, Burmese",2,4.3
"Mexican, Grill",1,4.3
"Beverages, Salad, Beverages",1,4.3
"French, Western",1,4.3
"Goan, Chinese, Indian, North Indian",1,4.3
"North Indian, Afghani, Mughlai",1,4.3
"Gourmet Fast Food, Burger",1,4.3
"European, Spanish",1,4.3
"Grill, Steak, Burger, Sushi, Tapas",1,4.3
"Cafe, Mexican, American, Italian, Lebanese, Continental",1,4.3
"Cafe, Mexican, Italian, Continental",1,4.3
"Kerala, South Indian, Continental, North Indian, Seafood, Chinese",1,4.3
"Desserts, Greek, Sandwich",1,4.3
"Italian, Mexican, Spanish, Thai, Vietnamese, Indonesian, American",1,4.3
"Beverages, Salad",1,4.3
"Italian, Seafood, Mediterranean, Desserts, Cafe",1,4.3
"American, Diner, Southern",1,4.3
"Mediterranean, Chinese, Continental",1,4.3
"Lebanese, Italian",1,4.3
"Spanish, Italian",1,4.3
"Juices, Beverages, Healthy Food",1,4.3
"British, Contemporary",2,4.3
"Burger, Izgara",1,4.3
"Brazilian, Italian",1,4.3
"Breakfast, Diner, Sandwich",1,4.3
"Coffee and Tea, Desserts",1,4.3
"Coffee and Tea, Mediterranean",1,4.3
"Desserts, Cafe",3,4.266666666666667
"Cafe, Fast Food, Italian",2,4.25
"North Indian, Italian, Chinese, Mexican",2,4.25
"North Indian, Continental, Goan",2,4.25
Indian,18,4.25
"North Indian, South Indian, Street Food, Bakery",2,4.25
International,6,4.233333333333333
Bar Food,3,4.233333333333333
"American, Bar Food",4,4.225
"American, Southern",4,4.225
